type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,3079495,Lauren  Bussey and Elizabeth  Sillence,,,,(How) Do People Negotiate Online Information into Their Decision Making with Healthcare Professionals?,1--5,,5,"decision making, design, doctor-patient communication, integration support, negotiate, online health information, trust",10.1145/3079452.3079495,,,,,,,2017,,Proceedings of the 2017 International Conference on Digital Health,DH '17,,978-1-4503-5249-9,"London, United Kingdom",ACM,"New York, NY, USA"
article,3212837,Katerina  El Raheb and Sarah  Whatley and Antonio  Camurri,,,,A Conceptual Framework for Creating and Analyzing Dance Learning Digital Content,2:1--2:8,2,8,"Conceptual Framework, Dance Education, Movement Qualities, Movement descriptors",10.1145/3212721.3212837,,,,,,,2018,,Proceedings of the 5th International Conference on Movement and Computing,MOCO '18,,978-1-4503-6504-8,"Genoa, Italy",ACM,"New York, NY, USA"
article,2494205,Daniel  Bahls and Benjamin  Zapilko and Klaus  Tochtermann,,,,A Data Restore Model for Reproducibility in Computational Statistics,13:1--13:8,13,8,"Linked Data, Research Data Management, Semantic Digital Data Library, Statistics",10.1145/2494188.2494205,,,,,,,2013,,Proceedings of the 13th International Conference on Knowledge Management and Knowledge Technologies,i-Know '13,,978-1-4503-2300-0,"Graz, Austria",ACM,"New York, NY, USA"
article,1413714,Victor  Mateevitsi and Michael  Sfakianos and George  Lepouras and Costas  Vassilakis,,,,A Game-engine Based Virtual Museum Authoring and Presentation System,451--457,,7,"authoring environment, game engines, museum guide, virtual museum",10.1145/1413634.1413714,,,,,,,2008,,Proceedings of the 3rd International Conference on Digital Interactive Media in Entertainment and Arts,DIMEA '08,,978-1-60558-248-1,"Athens, Greece",ACM,"New York, NY, USA"
article,3012289,Mauro  Dragoni and Sara  Tonelli and Giovanni  Moretti,,,,A Knowledge Management Architecture for Digital Cultural Heritage,15:1--15:18,15,18,"Knowledge management, curation, digital heritage, services, visualization",10.1145/3012289,J. Comput. Cult. Herit.,August 2017,10,3,,July,2017,1556-4673,,,,,,ACM,"New York, NY, USA"
article,2616528,Joseph Paul Cohen and Henry Z. Lo,,,,Academic Torrents: A Community-Maintained Distributed Repository,2:1--2:2,2,2,"Datasets, Distributed, Global, Peer to Peer, Publishing",10.1145/2616498.2616528,,,,,,,2014,,Proceedings of the 2014 Annual Conference on Extreme Science and Engineering Discovery Environment,XSEDE '14,,978-1-4503-2893-7,"Atlanta, GA, USA",ACM,"New York, NY, USA"
article,2362481,Daniel  Bahls and Klaus  Tochtermann,,,,Addressing the Long Tail in Empirical Research Data Management,19:1--19:8,19,8,"linked data, research data management, semantic digital data library, statistics",10.1145/2362456.2362481,,,,,,,2012,,Proceedings of the 12th International Conference on Knowledge Management and Knowledge Technologies,i-KNOW '12,,978-1-4503-1242-4,"Graz, Austria",ACM,"New York, NY, USA"
article,1998167,Carole L. Palmer and Nicholas M. Weber and Melissa H. Cragin,,,,Analytic Potential of Data: Assessing Reuse Value,425--426,,2,"collection development, data curation, data reuse, repositories",10.1145/1998076.1998167,,,,,,,2011,,Proceedings of the 11th Annual International ACM/IEEE Joint Conference on Digital Libraries,JCDL '11,,978-1-4503-0744-4,"Ottawa, Ontario, Canada",ACM,"New York, NY, USA"
article,3209875,Deepika  Yadav and Mayank  Gupta and Malolan  Chetlur and Pushpendra  Singh,,,,Automatic Annotation of Voice Forum Content for Rural Users and Evaluation of Relevance,12:1--12:11,12,11,"Community Health Workers, HCI4D, ICT4D, IVR, Interactive Voice Response, Speech Summarization, Topic Modeling",10.1145/3209811.3209875,,,,,,,2018,,Proceedings of the 1st ACM SIGCAS Conference on Computing and Sustainable Societies,COMPASS '18,,978-1-4503-5816-3,"Menlo Park and San Jose, CA, USA",ACM,"New York, NY, USA"
article,1940912,Laura  Wynholds and David  Fearon and Christine L. Borgman and Sharon  Traweek,,,,Awash in Stardust: Data Practices in Astronomy,802--804,,3,"astronomy, collaboration, data curation, data practices, sky surveys",10.1145/1940761.1940912,,,,,,,2011,,Proceedings of the 2011 iConference,iConference '11,,978-1-4503-0121-3,"Seattle, Washington, USA",ACM,"New York, NY, USA"
article,3203897,Devendra  Potnis and Reynard  Regenstreif-Harms and Dwight  Hunter,,,,"Challenges to Deploying Library Services in the Cloud: Data Issues Influencing IT, People, Costs, and Policy Challenges",375--376,,2,"challenges, cloud, libraries, software as a service",10.1145/3197026.3203897,,,,,,,2018,,Proceedings of the 18th ACM/IEEE on Joint Conference on Digital Libraries,JCDL '18,,978-1-4503-5178-2,"Fort Worth, Texas, USA",ACM,"New York, NY, USA"
article,3129270,Florian  Michahelles and Andrei  Ciortea and Kimberly  Garc&#237;a and Markus  Funk,,,,Combining Semantics and Augmented Reality to Support the Human Mind,697--703,,7,"augmented reality, cognitive support, semantics",10.1145/3123024.3129270,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,1920534,"David S. Fearon,Jr. and Christine L. Borgman and Sharon  Traweek and Laura  Wynholds",,,,Curators to the Stars,162:1--162:2,162,2,"astronomy, collaboration, data repositories, digital data curation, ethnography, information behavior, science & technology studies, scientific data practices, user-centered design",,,,,,,,2010,,Proceedings of the 73rd ASIS&T Annual Meeting on Navigating Streams in an Information Ecosystem - Volume 47,ASIS&#38;T '10,,,"Pittsburgh, Pennsylvania",American Society for Information Science,"Silver Springs, MD, USA"
article,3017493,Bradley Wade Bishop and Carolyn  Hank,,,,Data Curation Profiling of Biocollections,46:1--46:9,46,9,"biocollections, biology, data curation, data curation profiles, data provenance",,,,,,,,2016,,"Proceedings of the 79th ASIS&T Annual Meeting: Creating Knowledge, Enhancing Lives Through Information & Technology",ASIST '16,,,"Copenhagen, Denmark",American Society for Information Science,"Silver Springs, MD, USA"
article,2016756,Nicholas C. Dexter and John W. Cobb and Dave  Vieglais and Matthew B. Jones and Mike  Lowe,,,,DataONE Member Node Pilot Integration with TeraGrid?,13:1--13:2,13,2,,10.1145/2016741.2016756,,,,,,,2011,,Proceedings of the 2011 TeraGrid Conference: Extreme Digital Discovery,TG '11,,978-1-4503-0888-5,"Salt Lake City, Utah",ACM,"New York, NY, USA"
article,1255183,Christopher A. Lee and Helen R. Tibbo and John C. Schaefer,,,,Defining What Digital Curators Do and What They Need to Know: The Digccurr Project,49--50,,2,"digital archives, digital curation, digital preservation, functional model, professional education",10.1145/1255175.1255183,,,,,,,2007,,Proceedings of the 7th ACM/IEEE-CS Joint Conference on Digital Libraries,JCDL '07,,978-1-59593-644-8,"Vancouver, BC, Canada",ACM,"New York, NY, USA"
article,2756923,Jose Maria  Gonzalez Pinto and Wolf-Tilo  Balke,,,,Demystifying the Semantics of Relevant Objects in Scholarly Collections: A Probabilistic Approach,157--164,,8,"hidden knowledge, probabilistic topic models., scientific digital libraries, semantics entities",10.1145/2756406.2756923,,,,,,,2015,,Proceedings of the 15th ACM/IEEE-CS Joint Conference on Digital Libraries,JCDL '15,,978-1-4503-3594-2,"Knoxville, Tennessee, USA",ACM,"New York, NY, USA"
article,2901912,Reese  Muntean and Kate  Hennessy and Alissa  Antle and Brendan  Matkin and Susan  Rowley and Jordan  Wilson,,,,Design Interactions in ?El&#1241;Wkw: Belongings,582--594,,13,"&#267;&#601;sna?&#601;m., digital heritage, intangible cultural heritage, museum of anthropology, musqueam indian band, tangible interaction",10.1145/2901790.2901912,,,,,,,2016,,Proceedings of the 2016 ACM Conference on Designing Interactive Systems,DIS '16,,978-1-4503-4031-1,"Brisbane, QLD, Australia",ACM,"New York, NY, USA"
article,2820984,Frederik  Brudy,,,,Designing Ad-Hoc Cross Device Collaborations For Small Groups,439--444,,6,"ad-hoc collaboration, cross device interaction, curation of historic documents and artefacts, small group collaboration",10.1145/2817721.2820984,,,,,,,2015,,Proceedings of the 2015 International Conference on Interactive Tabletops & Surfaces,ITS '15,,978-1-4503-3899-8,"Madeira, Portugal",ACM,"New York, NY, USA"
article,1056245,Jerry  Watkins and Angelina  Russo,,,,Digital Cultural Communication: Designing Co-creative New Media Environments,144--149,,6,"cultural institutions, interaction design",10.1145/1056224.1056245,,,,,,,2005,,Proceedings of the 5th Conference on Creativity &Amp; Cognition,C&amp;C '05,,1-59593-025-6,"London, United Kingdom",ACM,"New York, NY, USA"
article,2657481,Quinn  Dombrowski and Ronelle  Alexander,,,,Digital Humanities Development Without Developers: Bulgarian Dialectology As Living Tradition,3:1--3:9,3,9,"Digital humanities, Drupal, data modeling, open source, reuse, sustainability",10.1145/2657480.2657481,,,,,,,2014,,"DH-CASE II: Collaborative Annotations on Shared Environments: Metadata, Tools and Techniques in the Digital Humanities",DH-CASE '14,,978-1-4503-2981-1,"Fort Collins, CA, USA",ACM,"New York, NY, USA"
article,1791172,Lillian (Boots) Cassel and Ed  Fox and Frank  Shipman and Peter  Brusilovsky and Weiguo  Fax and Dan  Garcia and Greg  Hislop and Richard  Furuta and Lois  Delcambre and Sridhara  Potluri,,,,Ensemble: Enriching Communities and Collections to Support Education in Computing: Poster Session,224--226,,3,,,J. Comput. Sci. Coll.,June 2010,25,6,,June,2010,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA
article,2702690,Motahhare  Eslami and Amirhossein  Aleyasen and Karrie  Karahalios and Kevin  Hamilton and Christian  Sandvig,,,,FeedVis: A Path for Exploring News Feed Curation Algorithms,65--68,,4,"algorithms, invisible processes, news feeds",10.1145/2685553.2702690,,,,,,,2015,,Proceedings of the 18th ACM Conference Companion on Computer Supported Cooperative Work &#38; Social Computing,CSCW'15 Companion,,978-1-4503-2946-0,"Vancouver, BC, Canada",ACM,"New York, NY, USA"
article,2750523,Patty  Kostkova and Vladimir  Prikazsky and Arnold  Bosman,,,,FEMwiki: Crowdsourcing Semantic Taxonomy and Wiki Input Todomain Experts While Keeping Editorial Control: Mission Possible!,27--34,,8,"crowdsourcing, evaluation, femwiki, social and semantic web, user engagement, wiki",10.1145/2750511.2750523,,,,,,,2015,,Proceedings of the 5th International Conference on Digital Health 2015,DH '15,,978-1-4503-3492-1,"Florence, Italy",ACM,"New York, NY, USA"
article,3012530,Laerte Pereira da Silva J&#250;nior and Maria Manuel Borges,,,,Fundamental Concepts in Digital Preservation,285--290,,6,"bit preservation, digital preservation, functional preservation",10.1145/3012430.3012530,,,,,,,2016,,Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '16,,978-1-4503-4747-1,"Salamanca, Spain",ACM,"New York, NY, USA"
article,3167024,Robin  Ghosh and Nicholas  Gonzalez and Ciji  Ramos and Jessie  Walker and Amanuel  Gebre and Mohiuddin  Hasan,,,,Hybrid Knowledge Mining Ecosystem,22--27,,6,"Big data, Clustering, Data Analytics and Visualization, Data Mining",10.1145/3167020.3167024,,,,,,,2017,,Proceedings of the 9th International Conference on Management of Digital EcoSystems,MEDES '17,,978-1-4503-4895-9,"Bangkok, Thailand",ACM,"New York, NY, USA"
article,2639259,Laura A. Maye and Fiona E. McDermott and Luigina  Ciolfi and Gabriela  Avram,,,,Interactive Exhibitions Design: What Can We Learn from Cultural Heritage Professionals?,598--607,,10,"cultural heritage, design strategy, expert community, interactive exhibitions, interview study",10.1145/2639189.2639259,,,,,,,2014,,"Proceedings of the 8th Nordic Conference on Human-Computer Interaction: Fun, Fast, Foundational",NordiCHI '14,,978-1-4503-2542-4,"Helsinki, Finland",ACM,"New York, NY, USA"
article,2925432,Hengyi  Fu and Besiki  Stvilia,,,,Knowledge Curation Discussions and Activity Dynamics in a Short Lived Social Q&#38;A Community,203--204,,2,"community lifecycle., knowledge curation, online communities, social q&#38;a sites",10.1145/2910896.2925432,,,,,,,2016,,Proceedings of the 16th ACM/IEEE-CS on Joint Conference on Digital Libraries,JCDL '16,,978-1-4503-4229-2,"Newark, New Jersey, USA",ACM,"New York, NY, USA"
